hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,booking_changes,reserved_room_type,assigned_room_type,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
Resort Hotel,1,353,2015,August,2,1,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,B,A,No Deposit,0,Contract,89.53,0,0
City Hotel,0,57,2015,March,3,3,2,0,0,BB,FRA,Online TA,Direct,0,1,3,D,D,Refundable,0,Contract,82.6,0,2
Resort Hotel,0,44,2016,July,1,5,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,159.26,0,2
Resort Hotel,1,27,2017,February,3,8,1,0,0,Undefined,IRL,Offline TA/TO,TA/TO,0,1,0,E,A,No Deposit,0,Transient,136.8,1,1
Resort Hotel,1,51,2016,June,0,4,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,A,No Deposit,0,Transient,125.39,0,1
City Hotel,1,165,2015,August,0,1,2,1,0,SC,BEL,Corporate,TA/TO,0,0,0,D,C,No Deposit,0,Transient,54.88,0,0
Resort Hotel,0,3,2015,March,1,3,2,2,0,BB,BRA,Online TA,TA/TO,0,0,0,A,D,No Deposit,0,Transient,138.83,0,1
City Hotel,1,304,2015,September,3,7,2,0,0,Undefined,FRA,Online TA,TA/TO,0,0,0,F,B,No Deposit,0,Transient,141.57,0,1
Resort Hotel,1,400,2017,November,1,3,2,0,0,BB,DEU,Direct,TA/TO,0,0,2,A,D,No Deposit,0,Transient,107.38,0,3
City Hotel,0,72,2016,September,1,7,2,0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,C,No Deposit,0,Transient,71.57,0,0
Resort Hotel,1,32,2017,March,0,3,3,0,0,Undefined,ITA,Online TA,TA/TO,0,0,0,A,C,No Deposit,0,Transient,91.44,0,1
City Hotel,0,20,2017,March,0,7,3,0,0,BB,ESP,Online TA,TA/TO,0,0,0,F,A,No Deposit,0,Transient,70.63,0,1
City Hotel,0,25,2015,May,1,2,2,0,0,HB,DEU,Online TA,TA/TO,0,0,0,E,A,No Deposit,0,Transient-Party,329.57,0,0
City Hotel,0,4,2015,September,1,3,3,1,0,SC,IRL,Online TA,Direct,0,0,0,F,A,No Deposit,0,Transient,109.3,1,1
Resort Hotel,1,51,2016,December,4,8,2,0,0,HB,BRA,Online TA,TA/TO,0,0,2,F,E,No Deposit,0,Transient,121.77,0,0
Resort Hotel,0,4,2017,January,0,4,2,1,0,BB,DEU,Online TA,Direct,0,0,1,A,D,No Deposit,0,Transient,60.68,0,2
Resort Hotel,0,101,2016,January,1,2,2,0,0,BB,BEL,Offline TA/TO,TA/TO,0,0,2,C,C,No Deposit,0,Transient,102.49,0,4
City Hotel,1,37,2016,January,4,2,2,0,0,FB,FRA,Offline TA/TO,TA/TO,0,0,0,D,E,No Deposit,0,Contract,44.89,0,0
City Hotel,0,17,2016,April,1,3,2,1,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,F,A,Non Refund,0,Contract,76.64,0,0
City Hotel,0,62,2016,July,4,1,1,0,0,Undefined,DEU,Corporate,TA/TO,0,0,0,A,C,No Deposit,0,Transient,44.11,0,2
Resort Hotel,1,291,2015,December,1,6,3,1,0,BB,BRA,Online TA,TA/TO,0,0,0,E,F,Non Refund,0,Transient,106.47,0,5
Resort Hotel,0,95,2016,November,3,6,1,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,C,D,Non Refund,0,Transient,110.58,0,0
Resort Hotel,1,54,2015,February,0,8,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,D,No Deposit,0,Transient,87.96,0,0
City Hotel,1,120,2016,December,1,7,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,C,No Deposit,0,Transient,83.45,0,2
City Hotel,0,106,2015,March,2,2,2,0,0,HB,GBR,Offline TA/TO,Direct,0,0,1,E,C,No Deposit,0,Transient,58.16,0,0
City Hotel,0,177,2016,April,2,4,2,0,0,SC,NLD,Online TA,Direct,1,0,0,A,A,Non Refund,0,Transient,69.54,0,0
Resort Hotel,0,18,2017,January,4,7,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,E,No Deposit,0,Transient,35.68,0,0
City Hotel,0,156,2017,February,0,7,2,0,0,HB,IRL,Offline TA/TO,TA/TO,0,1,1,D,C,No Deposit,0,Transient,81.57,1,1
City Hotel,0,28,2015,February,4,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,2,C,F,No Deposit,0,Transient,115.87,0,0
Resort Hotel,1,226,2015,November,0,0,2,0,0,HB,NLD,Online TA,TA/TO,0,0,0,B,E,No Deposit,0,Transient,76.22,0,0
City Hotel,0,26,2016,June,2,4,1,0,0,BB,BRA,Groups,TA/TO,0,1,0,B,E,No Deposit,0,Contract,88.83,0,0
City Hotel,1,209,2017,April,2,0,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,C,C,No Deposit,0,Transient,83.56,0,2
City Hotel,1,265,2016,December,4,6,2,0,0,BB,GBR,Direct,TA/TO,0,0,0,D,B,No Deposit,0,Transient,67.69,0,1
City Hotel,0,12,2015,July,3,7,3,1,0,BB,BRA,Online TA,GDS,0,0,0,B,A,Refundable,0,Transient-Party,61.6,0,2
Resort Hotel,1,293,2016,December,2,5,1,0,0,BB,ESP,Online TA,TA/TO,0,0,0,C,A,No Deposit,0,Transient,75.26,0,1
Resort Hotel,0,7,2017,November,0,2,2,0,0,FB,BRA,Direct,Corporate,0,0,0,B,C,No Deposit,0,Transient,94.08,0,0
City Hotel,0,19,2017,December,1,0,2,0,0,BB,ITA,Corporate,TA/TO,0,0,0,E,E,No Deposit,0,Transient,162.73,0,0
Resort Hotel,1,46,2017,August,1,1,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,E,A,Non Refund,0,Group,177.59,0,2
City Hotel,1,404,2017,February,1,1,2,0,0,FB,NLD,Online TA,Corporate,0,1,0,B,A,Non Refund,0,Contract,52.15,0,0
City Hotel,0,53,2017,February,2,1,1,0,0,HB,BEL,Online TA,TA/TO,0,0,0,B,F,No Deposit,0,Contract,63.78,0,1
City Hotel,0,63,2015,May,3,4,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,1,F,A,No Deposit,0,Contract,82.35,0,1
City Hotel,1,94,2016,April,2,1,2,0,0,BB,ITA,Groups,TA/TO,0,0,0,F,C,Non Refund,0,Contract,36.99,0,0
Resort Hotel,1,276,2016,December,0,8,2,0,0,HB,PRT,Online TA,Direct,0,0,0,A,D,No Deposit,0,Transient,45.94,0,0
Resort Hotel,0,122,2016,October,2,5,2,2,0,HB,BRA,Direct,TA/TO,0,0,0,F,D,No Deposit,0,Transient,94.82,0,0
Resort Hotel,0,20,2015,February,2,6,2,0,0,BB,GBR,Corporate,Direct,0,0,1,C,A,No Deposit,0,Transient,80.93,0,0
City Hotel,0,28,2015,September,2,2,1,0,0,HB,BRA,Direct,TA/TO,0,0,0,D,E,No Deposit,0,Transient,164.68,0,0
Resort Hotel,0,8,2015,September,2,6,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,F,A,No Deposit,0,Transient,198.83,0,1
Resort Hotel,1,82,2015,October,0,3,2,0,0,HB,ITA,Corporate,Corporate,0,0,0,A,B,Non Refund,0,Contract,147.99,0,4
City Hotel,0,15,2016,December,2,7,3,0,0,SC,GBR,Corporate,TA/TO,0,0,2,A,C,No Deposit,0,Transient-Party,84.59,2,0
City Hotel,0,23,2017,April,3,8,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,C,No Deposit,0,Contract,131.68,0,1
Resort Hotel,1,175,2017,February,4,4,1,0,0,Undefined,BEL,Online TA,TA/TO,0,0,0,C,D,No Deposit,0,Transient,112.93,0,0
Resort Hotel,0,31,2015,March,0,2,2,0,0,SC,ESP,Online TA,Direct,0,2,0,C,A,No Deposit,0,Transient,99.7,1,0
City Hotel,0,66,2016,August,3,5,2,1,0,Undefined,BRA,Groups,TA/TO,0,0,0,B,F,Refundable,0,Transient,154.25,0,0
Resort Hotel,0,40,2016,November,1,2,2,0,0,SC,NLD,Online TA,Direct,0,0,0,F,E,No Deposit,0,Transient-Party,88.14,0,0
Resort Hotel,0,6,2015,August,1,5,2,0,0,HB,NLD,Online TA,TA/TO,0,0,3,B,D,No Deposit,0,Transient,65.04,0,0
Resort Hotel,1,36,2016,December,0,6,1,0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,F,No Deposit,0,Transient,107.52,0,0
City Hotel,0,41,2017,July,4,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,B,No Deposit,0,Transient,51.28,0,2
Resort Hotel,1,180,2015,April,2,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,F,E,No Deposit,0,Transient,79.39,1,0
City Hotel,1,31,2016,January,0,6,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,C,F,No Deposit,0,Group,41.46,1,0
City Hotel,0,38,2016,October,2,1,1,0,0,HB,IRL,Offline TA/TO,TA/TO,0,0,0,B,B,No Deposit,0,Contract,79.41,0,2
City Hotel,0,122,2016,September,2,4,3,0,0,BB,BRA,Offline TA/TO,TA/TO,0,0,0,D,E,No Deposit,0,Contract,86.79,0,0
Resort Hotel,1,113,2015,July,1,5,1,0,0,BB,DEU,Offline TA/TO,Corporate,0,0,0,E,D,No Deposit,0,Transient,163.79,0,0
City Hotel,0,128,2017,January,4,5,3,0,0,SC,ESP,Online TA,GDS,0,0,1,F,D,Non Refund,0,Transient,62.42,0,0
City Hotel,0,245,2016,May,2,4,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,E,F,Refundable,0,Transient,73.99,0,2
City Hotel,0,126,2015,March,0,4,2,0,0,BB,ESP,Direct,TA/TO,0,0,0,B,C,No Deposit,0,Transient,67.02,0,1
City Hotel,0,41,2015,February,1,7,2,0,0,BB,GBR,Corporate,Direct,0,0,0,D,F,No Deposit,0,Transient,53.48,0,2
City Hotel,1,137,2016,March,2,4,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,C,F,No Deposit,0,Transient-Party,78.7,0,0
City Hotel,0,56,2015,June,1,5,2,0,0,HB,IRL,Direct,Direct,0,0,0,E,F,No Deposit,0,Group,59.32,0,1
City Hotel,0,26,2017,December,1,0,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,F,No Deposit,0,Transient,81.36,0,0
City Hotel,0,28,2017,July,0,0,2,0,0,Undefined,NLD,Direct,TA/TO,0,0,0,D,B,No Deposit,0,Transient,193.93,0,2
Resort Hotel,0,20,2015,October,0,0,2,0,0,BB,DEU,Online TA,Direct,0,0,0,B,C,No Deposit,0,Transient,143.66,0,0
Resort Hotel,0,12,2016,September,3,3,1,0,0,BB,NLD,Online TA,Direct,1,0,0,E,A,No Deposit,0,Transient,179.54,0,1
Resort Hotel,0,16,2017,October,2,2,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,C,D,No Deposit,0,Transient,82.39,0,0
City Hotel,0,5,2016,December,1,4,1,0,0,HB,DEU,Groups,TA/TO,0,0,0,B,B,No Deposit,0,Transient,116.31,0,1
City Hotel,1,175,2015,November,3,6,1,0,0,HB,PRT,Online TA,GDS,0,0,0,B,B,No Deposit,0,Transient,109.16,1,0
City Hotel,1,213,2017,July,0,5,2,1,0,BB,ITA,Online TA,TA/TO,0,0,0,B,F,No Deposit,0,Transient,111.53,0,0
City Hotel,0,70,2016,December,4,2,3,0,0,BB,GBR,Offline TA/TO,TA/TO,1,0,0,A,C,No Deposit,0,Transient,84.98,0,1
City Hotel,0,146,2015,January,1,1,2,0,0,HB,GBR,Online TA,TA/TO,0,0,0,D,B,No Deposit,0,Transient-Party,89.91,0,2
City Hotel,0,16,2016,July,4,1,3,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,C,Non Refund,0,Transient,238.31,0,3
Resort Hotel,0,185,2017,January,4,2,1,0,0,BB,ESP,Direct,TA/TO,0,0,0,D,A,No Deposit,0,Transient,109.87,0,0
City Hotel,0,56,2015,August,1,2,1,2,0,BB,IRL,Online TA,TA/TO,0,0,0,C,D,No Deposit,0,Transient,138.44,0,0
Resort Hotel,0,5,2015,February,3,2,2,0,0,HB,ESP,Corporate,TA/TO,0,0,0,F,C,No Deposit,0,Transient,73.32,0,0
Resort Hotel,0,12,2016,February,3,7,2,1,0,Undefined,BEL,Complementary,TA/TO,0,0,0,C,A,No Deposit,0,Transient-Party,45.67,0,2
Resort Hotel,0,29,2016,January,1,2,1,0,0,BB,ITA,Corporate,TA/TO,0,0,0,D,A,No Deposit,0,Transient,44.87,0,1
Resort Hotel,0,3,2015,September,2,5,1,0,0,BB,PRT,Online TA,TA/TO,0,0,1,A,F,No Deposit,0,Contract,176.52,0,4
City Hotel,0,29,2017,December,4,8,3,0,0,HB,IRL,Offline TA/TO,Corporate,0,0,0,E,D,No Deposit,0,Transient-Party,32.3,0,0
City Hotel,0,4,2017,November,3,7,1,1,0,HB,GBR,Online TA,TA/TO,0,0,1,E,C,No Deposit,0,Transient,54.65,0,1
Resort Hotel,0,21,2016,August,1,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,D,No Deposit,0,Transient,96.78,0,2
City Hotel,0,24,2016,September,0,4,2,0,0,BB,PRT,Offline TA/TO,Direct,0,0,1,A,E,No Deposit,0,Transient,49.35,0,1
City Hotel,1,414,2016,August,0,4,3,2,0,SC,PRT,Online TA,TA/TO,0,0,3,A,F,No Deposit,0,Transient,59.13,0,3
Resort Hotel,0,21,2017,April,1,7,1,1,0,Undefined,BRA,Online TA,TA/TO,0,0,0,E,E,No Deposit,0,Transient,56.39,0,0
City Hotel,0,21,2017,September,2,6,1,0,0,SC,BRA,Direct,TA/TO,0,0,0,B,A,No Deposit,0,Transient,75.71,1,0
Resort Hotel,1,92,2016,August,0,4,2,0,0,BB,BEL,Offline TA/TO,TA/TO,0,0,0,A,C,No Deposit,0,Transient,56.5,0,0
City Hotel,1,156,2016,January,2,5,1,0,0,HB,GBR,Online TA,Corporate,0,0,3,E,D,No Deposit,0,Transient,74.73,0,2
City Hotel,1,39,2015,October,1,4,1,1,0,Undefined,ITA,Online TA,TA/TO,0,0,0,F,E,Refundable,0,Transient-Party,121.68,0,1
Resort Hotel,1,166,2015,May,1,8,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,F,E,No Deposit,0,Transient,180.41,0,0
Resort Hotel,0,33,2015,September,4,5,2,0,1,Undefined,GBR,Online TA,GDS,0,0,0,D,C,No Deposit,0,Transient,38.76,0,0
City Hotel,1,17,2015,December,1,2,2,0,0,BB,BEL,Offline TA/TO,Corporate,0,0,0,C,F,No Deposit,0,Transient,80.87,0,2
City Hotel,1,31,2016,August,2,2,2,0,0,HB,FRA,Offline TA/TO,TA/TO,0,1,0,C,B,No Deposit,0,Transient,104.13,0,0
Resort Hotel,0,75,2017,January,3,3,3,1,0,BB,ESP,Online TA,TA/TO,0,1,1,F,D,No Deposit,0,Transient,100.69,0,0
City Hotel,0,36,2017,June,0,4,2,0,0,SC,DEU,Direct,Direct,0,0,1,B,E,No Deposit,0,Transient,70.85,0,0
City Hotel,0,89,2015,November,0,8,1,1,0,SC,FRA,Online TA,TA/TO,0,0,0,F,D,No Deposit,1,Transient,91.23,0,0
City Hotel,0,21,2017,June,4,1,2,0,0,BB,GBR,Corporate,TA/TO,0,0,0,A,B,Non Refund,0,Transient,103.66,0,1
City Hotel,1,96,2015,February,3,1,3,0,0,BB,NLD,Online TA,Corporate,0,0,0,F,A,No Deposit,0,Contract,59.38,0,0
City Hotel,0,34,2016,November,2,0,2,0,0,BB,PRT,Direct,TA/TO,0,0,1,B,F,No Deposit,0,Transient,83.94,0,3
City Hotel,0,48,2015,February,2,7,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,C,E,No Deposit,0,Transient,160.67,0,2
City Hotel,0,65,2017,January,4,0,1,0,0,HB,DEU,Online TA,TA/TO,0,0,0,D,A,No Deposit,0,Transient-Party,73.16,0,0
Resort Hotel,0,92,2017,June,1,5,2,1,1,BB,FRA,Offline TA/TO,TA/TO,0,0,0,C,D,Refundable,0,Transient,99.25,0,0
Resort Hotel,0,21,2017,September,3,1,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,F,A,Non Refund,0,Group,83.05,0,0
Resort Hotel,1,144,2016,August,0,8,1,0,0,BB,BRA,Direct,Direct,0,0,0,C,D,No Deposit,0,Transient,70.65,0,0
City Hotel,1,102,2015,May,3,3,2,0,0,FB,NLD,Groups,TA/TO,0,0,2,C,B,No Deposit,1,Transient,92.89,0,2
City Hotel,0,21,2016,August,4,4,2,0,0,HB,ESP,Corporate,TA/TO,0,0,0,B,E,No Deposit,0,Transient,70.59,1,0
Resort Hotel,1,295,2016,February,1,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,3,E,D,No Deposit,0,Transient,72.32,0,0
City Hotel,0,87,2015,December,3,4,3,0,0,Undefined,NLD,Online TA,TA/TO,0,0,0,F,A,No Deposit,0,Transient,57.34,0,0
City Hotel,0,48,2017,November,1,6,1,0,0,HB,IRL,Online TA,Direct,0,0,0,C,E,No Deposit,0,Contract,84.45,0,0
Resort Hotel,0,13,2017,June,3,4,3,0,0,HB,IRL,Offline TA/TO,Corporate,0,0,0,B,A,No Deposit,0,Contract,37.62,0,1
City Hotel,1,60,2017,December,0,0,2,1,0,FB,IRL,Direct,Direct,0,0,0,B,E,No Deposit,0,Transient,71.87,0,0
Resort Hotel,0,14,2017,February,2,8,3,0,0,HB,GBR,Corporate,Corporate,0,0,0,E,D,No Deposit,0,Transient,165.46,0,0
Resort Hotel,0,44,2016,August,3,1,2,1,0,BB,IRL,Offline TA/TO,Corporate,0,0,2,D,A,No Deposit,0,Transient,214.66,0,2
City Hotel,0,42,2015,December,2,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,No Deposit,0,Transient,32.44,0,3
City Hotel,1,101,2015,February,2,5,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,1,F,F,No Deposit,0,Transient,91.56,0,0
Resort Hotel,0,17,2015,May,2,0,1,0,0,FB,NLD,Online TA,TA/TO,0,0,3,F,D,No Deposit,0,Transient-Party,70.65,0,0
City Hotel,1,138,2016,December,4,8,1,0,0,SC,PRT,Online TA,Direct,0,0,3,A,F,No Deposit,0,Transient,104.6,0,0
City Hotel,0,31,2017,July,0,8,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,F,E,No Deposit,0,Transient,103.56,0,1
Resort Hotel,0,46,2017,July,2,7,2,0,0,SC,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,No Deposit,0,Transient-Party,64.27,0,0
Resort Hotel,0,118,2015,April,0,8,2,0,0,HB,IRL,Direct,TA/TO,0,0,3,B,F,Non Refund,0,Transient,199.38,0,1
City Hotel,0,78,2017,August,3,3,1,0,0,BB,NLD,Direct,Direct,0,0,0,D,E,Non Refund,0,Transient,104.01,0,4
Resort Hotel,1,29,2016,July,0,8,1,0,0,BB,DEU,Offline TA/TO,Corporate,0,0,0,E,C,No Deposit,0,Transient,110.02,0,0
City Hotel,0,39,2017,October,1,3,2,2,0,HB,FRA,Offline TA/TO,GDS,0,0,1,F,A,No Deposit,0,Transient,33.37,0,1
City Hotel,1,29,2017,May,2,4,2,0,0,HB,BEL,Online TA,TA/TO,0,0,0,D,C,Non Refund,0,Transient,82.99,0,0
City Hotel,0,72,2017,April,3,5,2,0,0,BB,FRA,Offline TA/TO,Corporate,0,0,0,A,A,No Deposit,0,Transient,18.77,0,0
Resort Hotel,1,32,2015,February,2,6,1,0,0,BB,BEL,Direct,Direct,0,0,0,D,D,No Deposit,0,Transient,77.46,0,0
City Hotel,0,103,2016,February,2,2,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,1,1,F,F,No Deposit,0,Group,62.53,0,2
City Hotel,1,69,2015,April,3,1,2,0,0,BB,PRT,Online TA,Direct,0,0,0,C,F,Non Refund,0,Transient,68.55,0,1
Resort Hotel,0,12,2016,August,3,4,2,0,0,SC,ITA,Groups,TA/TO,0,0,0,C,B,Refundable,0,Transient,55.78,0,0
Resort Hotel,0,29,2015,November,4,2,2,0,0,Undefined,ESP,Offline TA/TO,TA/TO,0,0,2,C,C,No Deposit,0,Transient,76.34,0,0
Resort Hotel,0,20,2016,June,4,2,2,0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,F,No Deposit,0,Transient,39.07,0,0
City Hotel,0,39,2016,September,4,6,3,0,0,Undefined,ITA,Online TA,TA/TO,0,1,0,D,B,No Deposit,0,Transient,73.05,0,0
City Hotel,0,58,2015,February,0,5,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,E,Refundable,0,Contract,65.7,2,0
Resort Hotel,0,56,2015,July,1,2,2,0,0,BB,PRT,Groups,Direct,0,0,0,C,C,No Deposit,0,Transient,165.15,0,0
City Hotel,0,112,2017,January,1,6,2,0,0,SC,GBR,Offline TA/TO,TA/TO,0,0,0,E,C,No Deposit,0,Transient,28.3,0,1
Resort Hotel,0,16,2016,February,0,5,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,D,A,No Deposit,0,Transient,49.76,0,0
City Hotel,1,234,2016,November,4,0,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,E,No Deposit,0,Transient,257.59,1,0
Resort Hotel,0,33,2016,September,1,4,2,0,0,HB,ITA,Online TA,Corporate,0,0,2,E,B,No Deposit,0,Contract,183.17,0,0
City Hotel,0,28,2016,August,4,3,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,B,F,No Deposit,0,Transient,182.85,0,3
City Hotel,0,92,2016,September,3,2,2,2,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,B,No Deposit,0,Transient,193.56,0,0
City Hotel,1,130,2017,July,0,2,2,0,0,Undefined,IRL,Offline TA/TO,TA/TO,0,0,0,F,F,No Deposit,5,Transient,125.31,0,0
Resort Hotel,0,38,2017,December,4,7,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,F,E,No Deposit,0,Transient,138.08,0,0
Resort Hotel,1,109,2017,October,0,2,2,0,0,Undefined,ITA,Offline TA/TO,TA/TO,0,0,0,C,B,No Deposit,0,Transient,54.14,0,1
City Hotel,1,172,2016,December,2,1,2,0,0,BB,BEL,Groups,TA/TO,0,0,0,F,A,No Deposit,0,Transient,59.95,1,0
Resort Hotel,1,116,2015,November,0,4,1,0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,E,Non Refund,0,Transient,179.6,0,0
Resort Hotel,0,2,2015,September,0,2,2,0,0,BB,BEL,Direct,GDS,0,0,0,D,B,No Deposit,0,Contract,124.74,0,2
Resort Hotel,0,140,2016,April,4,2,1,0,0,SC,BEL,Offline TA/TO,Direct,0,0,0,B,A,No Deposit,0,Transient,92.26,0,1
City Hotel,0,119,2017,March,0,7,1,0,0,Undefined,BRA,Corporate,TA/TO,0,0,2,F,E,No Deposit,0,Transient,49.24,0,1
City Hotel,0,88,2015,April,2,8,2,0,0,SC,DEU,Corporate,GDS,0,0,0,F,A,Non Refund,0,Transient,87.73,0,1
City Hotel,0,114,2015,May,3,1,2,1,0,BB,BRA,Corporate,TA/TO,0,0,0,A,B,No Deposit,0,Transient,80.37,0,0
Resort Hotel,1,310,2017,December,1,0,1,0,0,SC,ESP,Corporate,TA/TO,0,0,0,A,A,No Deposit,0,Transient,41.24,0,0
Resort Hotel,1,45,2016,October,3,7,3,0,0,SC,GBR,Online TA,Direct,0,0,0,E,B,No Deposit,2,Transient,99.29,0,0
City Hotel,0,5,2016,April,0,5,2,0,0,BB,ESP,Online TA,Direct,0,0,0,A,D,No Deposit,0,Transient,184.53,0,0
City Hotel,1,49,2016,April,2,8,1,0,0,SC,FRA,Online TA,TA/TO,0,0,0,E,F,No Deposit,0,Transient,45.93,0,0
Resort Hotel,0,3,2016,December,2,0,3,0,0,HB,DEU,Online TA,TA/TO,0,0,0,B,D,No Deposit,0,Transient,112.42,0,1
City Hotel,0,27,2016,July,3,4,2,0,0,BB,NLD,Groups,Direct,0,1,0,F,C,No Deposit,0,Transient,44.76,0,0
Resort Hotel,0,70,2015,April,4,4,2,0,0,BB,DEU,Online TA,TA/TO,0,2,0,E,F,No Deposit,0,Transient,30.75,0,1
City Hotel,0,29,2017,April,1,2,2,0,0,HB,NLD,Online TA,TA/TO,0,0,0,F,B,No Deposit,0,Transient,283.79,0,1
Resort Hotel,1,92,2015,September,0,1,2,0,0,SC,GBR,Online TA,Direct,0,0,2,B,F,No Deposit,0,Transient,30.27,0,2
City Hotel,0,138,2015,September,0,8,1,0,0,Undefined,ESP,Groups,TA/TO,0,0,0,E,B,No Deposit,0,Transient,131.24,0,0
City Hotel,0,43,2015,May,3,6,1,0,0,HB,ITA,Online TA,TA/TO,0,0,1,F,A,No Deposit,1,Group,123.0,0,0
City Hotel,0,184,2017,September,2,8,1,1,0,BB,PRT,Online TA,TA/TO,0,0,0,F,A,No Deposit,0,Transient,70.21,0,3
Resort Hotel,0,6,2015,November,2,2,2,0,0,BB,ESP,Corporate,TA/TO,0,0,0,E,D,No Deposit,0,Transient-Party,118.94,0,0
City Hotel,1,146,2015,February,4,0,3,0,0,HB,ESP,Groups,TA/TO,0,0,3,D,C,No Deposit,0,Transient,45.75,0,0
City Hotel,0,141,2016,December,1,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,B,C,No Deposit,0,Transient,71.81,0,2
Resort Hotel,0,31,2017,December,0,5,2,0,0,HB,BEL,Online TA,TA/TO,0,0,0,D,A,Non Refund,0,Transient,58.41,1,1
City Hotel,0,28,2016,December,3,5,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,F,No Deposit,10,Transient,263.77,0,0
City Hotel,0,29,2016,May,4,1,2,0,0,SC,ITA,Offline TA/TO,TA/TO,0,0,0,C,C,No Deposit,0,Transient,58.65,0,4
City Hotel,0,133,2015,November,1,8,1,0,0,BB,ESP,Online TA,Direct,0,0,2,D,C,No Deposit,0,Contract,97.97,0,0
City Hotel,0,142,2016,July,0,0,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,C,B,No Deposit,0,Transient,67.91,0,1
Resort Hotel,0,32,2015,August,1,3,2,0,0,BB,BEL,Offline TA/TO,Direct,0,0,0,D,F,Refundable,0,Transient,51.88,1,0
City Hotel,0,71,2016,December,0,3,2,0,0,BB,ITA,Online TA,TA/TO,0,0,1,E,F,No Deposit,0,Transient,61.49,0,0
Resort Hotel,1,11,2017,May,1,0,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,F,B,No Deposit,2,Transient,131.5,0,2
City Hotel,0,50,2017,December,1,4,2,0,0,BB,BEL,Complementary,TA/TO,0,0,0,C,B,No Deposit,0,Transient,55.99,0,3
City Hotel,1,537,2016,September,3,5,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,C,D,Non Refund,0,Transient,81.51,0,1
City Hotel,0,13,2015,December,4,8,2,0,0,HB,IRL,Corporate,Direct,0,0,0,B,F,No Deposit,0,Transient,77.24,0,0
Resort Hotel,1,235,2015,November,2,7,2,0,0,HB,BRA,Online TA,TA/TO,0,0,0,D,E,No Deposit,0,Transient,107.84,0,0
Resort Hotel,0,139,2015,March,1,3,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,C,B,No Deposit,0,Transient,42.57,0,1
City Hotel,1,286,2016,December,3,5,2,0,0,FB,PRT,Offline TA/TO,Direct,0,0,0,E,C,No Deposit,0,Transient-Party,26.33,0,0
